addr:city,addr:housenumber,addr:postcode,addr:street,amenity,beds,emergency,gnis:feature_id,healthcare,name,opening_hours,operator,phone,website,wikidata,wikipedia,geometry,addr:state,healthcare:speciality,operator:type,nodes,official_name,old_name,start_date,height,nycdoitt:bin,alt_name,access,healthcare:for,operator:short,operator:wikidata,operator:wikipedia,short_name
Bronx,111,10467,East 210th Street,hospital,726,yes,957548,hospital,Montefiore Medical Center West Campus Moses Division Hospital,24/7,Montefiore Health System,+1 718 920 4321,https://www.montefiore.org/west,Q6905066,en:Montefiore Medical Center,POINT (-8224266.602834538 4994670.330251723),,,,,,,,,,,,,,,,
Bronx,1300,10461,Waters Place,hospital,,no,1993274,hospital,New York City Children's Center Bronx Campus,,,+1 718 239 3600,https://www.omh.ny.gov/omhweb/facilities/nyccc/bcpc/,,,POINT (-8219700.678072365 4989722.669196329),NY,psychiatry,,,,,,,,,,,,,,
Bronx,3424,10467,Kossuth Avenue,hospital,,yes,2072352,hospital,North Central Bronx Hospital,24/7,NYC Health + Hospitals,+1 718 519 5000,https://www.nychealthandhospitals.org/northcentralbronx/,Q96396296,,POINT (-8224439.437475944 4994710.495286703),,,,,,,,,,,,,,,,
Bronx,3415,10467,Bainbridge Avenue,hospital,,,,hospital,Children's Hospital at Montefiore,,Montefiore Medical Center,,,Q30279893,,POINT (-8224161.305728197 4994712.615439776),NY,paediatrics,private,,,,,,,,,,,,,
Bronx,4141,10466,Carpenter Avenue,hospital,,,,hospital,Montefiore Medical Center - Wakefield Campus,,,,,,,POINT (-8222178.059944122 4996686.324678281),NY,,,,,,,,,,,,,,,
Bronx,1500,10461,Waters Place,hospital,,no,,hospital,Bronx Psychiatric Center,,,+1 718 931 0600,https://www.omh.ny.gov/omhweb/facilities/brpc/,,,POINT (-8219828.372660255 4989733.411701574),NY,psychiatry,,,,,,,,,,,,,,
Bronx,234,10455,Eugenio Maria De Hostos Boulevard,hospital,,yes,2061996,hospital,Lincoln Hospital,24/7,NYC Health + Hospitals,+1 718 579 5000,https://www.nychealthandhospitals.org/lincoln/,Q6550756,en:Lincoln Hospital (Bronx),"POLYGON ((-8229318.670944954 4985514.048001715, -8229418.279625317 4985354.422845423, -8229306.314481477 4985315.017073912, -8229333.487569179 4985222.394280139, -8229188.371480981 4985172.589850899, -8229120.299612362 4985304.2058878215, -8229082.673624474 4985387.26846452, -8229067.445118132 4985429.366325177, -8229318.670944954 4985514.048001715))",,,,"[1932858971, 1932858970, 1932858968, 1932858973, 1932858969, 1932858972, 1932858975, 1932858974, 1932858971]",NYC Health + Hospitals/Lincoln,Lincoln Medical and Mental Health Center,1839,,,,,,,,,
,2678,10463,Kingsbridge Terrace,hospital,,,,hospital,Fordham Nursing and Rehabilitation Center,,,,,,,"POLYGON ((-8226914.971444154 4993248.332613831, -8226920.22572412 4993252.36618921, -8226950.916507732 4993212.015789518, -8226956.0372043075 4993215.93158166, -8226970.341758876 4993238.160356331, -8226939.740030856 4993278.378374167, -8226912.989957218 4993261.890733316, -8226907.7356772525 4993257.857153996, -8226914.971444154 4993248.332613831))",,,,"[2809489343, 2809489344, 2809489320, 2809489322, 2809489339, 2809489355, 2809489347, 2809489346, 2809489343]",,,,28.7,2015502,,,,,,,
Bronx,,10461,Waters Place,hospital,,no,,hospital,Bronx Psychiatric Center,,,+1 718 931 0600,https://www.omh.ny.gov/omhweb/facilities/brpc/,,,"POLYGON ((-8220135.959545266 4989730.998315803, -8220053.549726231 4989705.922684359, -8220018.317107395 4989692.163489104, -8219991.444582318 4989671.870550995, -8219968.156544845 4989649.179005237, -8219951.224850293 4989624.368465047, -8219911.817750553 4989568.83193305, -8219744.604743432 4989318.023829064, -8219735.053531123 4989304.294611317, -8219625.381568793 4989350.603207699, -8219601.403350476 4989361.9044809975, -8219579.918688755 4989394.954894465, -8219546.177751093 4989548.715837455, -8219521.097469817 4989692.92870587, -8219516.021301039 4989787.286279649, -8219502.885601125 4990031.528300875, -8219479.59756365 4990346.828381489, -8219457.200082103 4990441.177565925, -8219456.253866431 4990455.58535982, -8219768.093155989 4990518.632585758, -8219784.234482154 4990522.768050632, -8219848.343376902 4990535.91030474, -8219860.621916737 4990511.774487734, -8219862.358500794 4990510.817886463, -8219863.972633411 4990511.6273183, -8219868.314093552 4990514.762027697, -8219918.418996357 4990438.881739649, -8219917.561836278 4990436.600630745, -8219914.144327911 4990434.746310352, -8219912.997737156 4990432.023697715, -8219917.706551616 4990426.313572059, -8219920.422747191 4990426.740359685, -8219922.560081414 4990429.5954222195, -8219926.8458818095 4990423.752846692, -8219929.851508061 4990416.894815397, -8219959.406832866 4990320.235350917, -8219982.282988225 4990243.635466174, -8219989.652338515 4990218.852846513, -8220067.075044363 4989971.927797728, -8220135.959545266 4989730.998315803))",NY,psychiatry,,"[5131032148, 5131032139, 5122279989, 5122279991, 5122279993, 5131032142, 5131032141, 5131032147, 5131032140, 5131032138, 5131032143, 3401274932, 3401274931, 3401274930, 3401274929, 3401274928, 3401274927, 3401274926, 5131032146, 2889362189, 2889362191, 2889362193, 2889362187, 2889362185, 2889362186, 2889362188, 2889362172, 2889362171, 2889362170, 2889362169, 2889362166, 2889362167, 2889362168, 2889362164, 2889362163, 2889362148, 5131032137, 5131032144, 5131032145, 5131032148]",,,,,,,,,,,,
Bronx,1740,10461,Eastchester Road,hospital,,no,,hospital,Calvary Hospital - Bronx Campus,,,+1 718 518 2000,https://www.calvaryhospital.org/,Q5024190,en:Calvary Hospital (Bronx),"POLYGON ((-8220286.129538346 4990067.171047435, -8220301.168801552 4990028.658638673, -8220325.236075461 4989950.7513116, -8220337.236316568 4989941.803928919, -8220353.511226121 4989929.265834105, -8220343.559263646 4989866.82577333, -8220259.423992503 4989827.563644303, -8220232.985613441 4989882.704317928, -8220224.848158664 4989901.997005149, -8220194.001527764 4989887.487017153, -8220169.967649702 4989964.746329593, -8220104.311414032 4989944.894306878, -8220087.624622363 4990006.054559772, -8220189.025546525 4990037.282344041, -8220286.129538346 4990067.171047435))",,,,"[5131064587, 5131064586, 5131063475, 11541936877, 5131063474, 5131063476, 2860993476, 2860993508, 2860993522, 2860993512, 4703583813, 4703583812, 4703583811, 4703583810, 5131064587]",,,,,,,,,,,,
