element_type,osmid,access,geometry,addr:city,addr:housenumber,addr:postcode,addr:state,addr:street,amenity,atm,drive_through,healthcare,name,opening_hours,phone,healthcare:speciality,emergency,internet_access,email,website,wheelchair,nodes,gnis:feature_id,healthcare:for,operator,operator:short,operator:type,operator:wikidata,operator:wikipedia,short_name,alt_name,wikidata,wikipedia,beds,building,check_date,height,nycdoitt:bin,start_date,old_name,official_name,loc_name,ways,building:levels,type
node,4015260292,,POINT (-73.9520958 40.586007),Brooklyn,1672,11235,NY,Sheepshead Bay Road,hospital,yes,no,hospital,Triborough GI,Mo-Fr 09:00-17:00; Th 09:00-19:00; Sa 09:00-14:00,+1-718-648-7400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5784468453,,POINT (-73.9605551 40.6064031),,,,,,hospital,,,hospital,cardiology,,,cardiology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5916175885,,POINT (-73.9965176 40.5996696),,,,,,hospital,,,hospital,Back to health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6157505285,,POINT (-73.9945286 40.6016008),,,,,,hospital,,,hospital,Cohen Children's Northwell Health,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6157505385,,POINT (-74.024444 40.6165652),,,,,,hospital,,,hospital,Girling Health Care,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6242987488,,POINT (-73.9642165 40.6078075),,,,,,hospital,,,,Midwood medical Plaza,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,8105845200,,POINT (-73.9582489 40.718289),Brooklyn,135,11211,NY,North 7th Street,hospital,,,hospital,Mount Sinai Doctors - Williamsburg,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9885158918,,POINT (-73.9942217 40.6978843),Brooklyn,41,11201,NY,Clark Street,hospital,,,hospital,Downtown Pain Physicians Of Brooklyn,Su-Fr 08:00-19:00,+1-718-210-2225,,,,downtownphysicians@gmail.com,https://www.downtownpainphysicians.com,,,,,,,,,,,,,,,,,,,,,,,,,
way,167481919,private,"POLYGON ((-74.023208 40.6062148, -74.023176 40.6062251, -74.0225806 40.6068, -74.022396 40.6069782, -74.0219046 40.6079029, -74.0229055 40.6084917, -74.0237965 40.6090119, -74.0245187 40.6094391, -74.0247608 40.6095744, -74.0247842 40.609553, -74.0263362 40.6080502, -74.0262302 40.607988, -74.0233084 40.6062721, -74.023208 40.6062148))",Brooklyn,800,11209,NY,Poly Place,hospital,,,hospital,VA New York Harbor Healthcare System Brooklyn Campus,24/7,+1 718 836 6600,,yes,,,https://www.nyharbor.va.gov/,,"[5004602499, 5004602498, 8743493600, 5004602497, 1788737564, 10125305323, 10125305324, 10125305325, 1788737613, 5004602501, 5004602500, 8743493585, 8743493586, 5004602499]",2080918,veteran,Veterans Health Administration,VA,government,Q6580225,en:Veterans Health Administration,VA,,,,,,,,,,,,,,,
way,219041270,,"POLYGON ((-73.9662269 40.5846595, -73.9635655 40.5847408, -73.9638286 40.5861782, -73.9639647 40.5868369, -73.9653806 40.5866786, -73.9657778 40.5866444, -73.9662269 40.5846595))",Brooklyn,2601,11235,NY,Ocean Parkway,hospital,,,hospital,NYC Health + Hospitals: South Brooklyn Health,24/7,+1 718 616 3000,,yes,,,https://www.nychealthandhospitals.org/coneyisland/,yes,"[2282434896, 2553438957, 7970441097, 3587030498, 7970441096, 3587030497, 2282434896]",947273,,NYC Health + Hospitals,,,,,,Coney Island Hospital,Q5159600,en:South Brooklyn Health,,,,,,,,,,,,
way,249749008,,"POLYGON ((-73.9482873 40.6140706, -73.9481444 40.614087, -73.9481373 40.6140549, -73.9480995 40.6140595, -73.9480925 40.6140323, -73.9483622 40.6138525, -73.9484038 40.6138643, -73.9484218 40.6138337, -73.9484386 40.6138049, -73.9484557 40.6138083, -73.9485914 40.6137157, -73.9488754 40.6139212, -73.948856 40.613936, -73.9488744 40.6139491, -73.9488769 40.6139728, -73.9484492 40.6140226, -73.9484359 40.6139513, -73.9483898 40.6139548, -73.9484132 40.6140799, -73.9483513 40.6140866, -73.9482938 40.6140928, -73.9482873 40.6140706))",Brooklyn,2525,11229,NY,Kings Highway,hospital,,,hospital,Maimonides Midwood Community Hospital,24/7,+1 718 692 5300,,yes,,,https://nych.com/,yes,"[2563120902, 2563120911, 2563120898, 2563120899, 2563120896, 2563119110, 2563120860, 11211449234, 2563120843, 2563120845, 2563120779, 2563120880, 2563120882, 2563120885, 2563120892, 2563120894, 2563120887, 2563120889, 2563120905, 11211449235, 2563120913, 2563120902]",2091987,,,,,,,,New York Community Hospital,Q104821667,en:New York Community Hospital,134,hospital,2023-09-23,22.8,3182231,1929,,,,,,
