element_type,osmid,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,check_date,emergency,gnis:feature_id,healthcare,name,opening_hours,operator,operator:wikidata,operator:wikipedia,phone,website,surrounding_pop,tract_pop,tract_area,tract_density
node,357620244,POINT (-74.0008333 40.7377778),New York,30,10011,7th Avenue,hospital,2024-01-11,yes,2082882,hospital,Lenox Health Greenwich Village,24/7,Northwell Health,Q7056650,en:Northwell Health,+1 646 665 6000,https://www.northwell.edu/lenox-health-greenwich-village,5599.0,5599.0,1.9249958546700001,2908.5776919555133
node,357642730,POINT (-73.9529748 40.7697091),New York,420,10021,East 76th Street,hospital,,no,2420554,hospital,Gracie Square Hospital,24/7,,,,+1 212 434 5300,https://www.nygsh.org/,,,,
node,357642735,POINT (-73.9553606 40.7620381),New York,1230,10021,York Avenue,hospital,,no,2420556,hospital,Rockefeller University Hospital,,,,,+1 212 327 7511,https://rucares.org/,3076.0,3076.0,2.11755278542,1452.6202232970072
node,357642745,POINT (-73.9845807 40.7318799),New York,310,10003,East 14th Street,hospital,,no,2420559,hospital,New York Eye and Ear Infirmary of Mount Sinai,,Mount Sinai,,,+1 212 979 4000,http://www.nyee.edu/,,,,
node,357642750,POINT (-73.963647 40.764233),New York,210,10065,East 64th Street,hospital,,no,2420561,hospital,Manhattan Eye Ear and Throat Hospital,,Northwell Health,Q7056650,en:Northwell Health,+1 212 838 9200,https://www.northwell.edu/find-care/locations/manhattan-eye-ear-and-throat-hospital,7456.0,7456.0,1.9013242903199998,3921.4772766328715
node,1581175993,POINT (-73.9717941 40.7464784),New York,339,10016,East 38th Street,hospital,,no,,hospital,NYU Langone Outpatient Surgery Center,,NYU Langone Health,Q6956114,en:NYU Langone Health,+1 212 263 1515,https://nyulangone.org/locations/nyu-langone-outpatient-surgery-center,8032.0,8032.0,1.9121098972100001,4200.595379857435
node,5421562461,POINT (-73.9526899 40.765164),New York,535,10021,East 70th Street,hospital,2024-02-23,no,1984534,hospital,Hospital for Special Surgery,,,,,+1 877 606 1555,https://www.hss.edu/,10402.0,10402.0,1.84756437668,5630.115048381687
node,5599581921,POINT (-73.9342033 40.804048),,225,10035,East 126th Street,hospital,,,,hospital,New York Proton Center,,,,,,https://www.nyproton.com/,3972.0,3972.0,3.71654984021,1068.7331451945674
node,10363943866,POINT (-73.9927766 40.768828),,,,,hospital,2023-01-09,,,hospital,Mount Sinai,,,,,,,,,,
node,10537056865,POINT (-73.9780184 40.786993),New York,2315,10024,Broadway,hospital,2023-01-10,no,,clinic,Weill Cornell Medicine Primary Care,Mo-Fr 09:00-17:00; Sa-Su off,,,,,https://weillcornell.org/wcm-primary-care-broadway,9135.0,9135.0,2.2623830144799997,4037.777839354777
way,137285662,"POLYGON ((-73.9385647 40.8404505, -73.9392852 40.8394274, -73.9400142 40.8397333, -73.9400529 40.8397495, -73.9400553 40.8387383, -73.940854 40.8391497, -73.9410732 40.8392719, -73.9413066 40.839402, -73.9431903 40.8403196, -73.9436156 40.8391541, -73.9454363 40.8399358, -73.9452603 40.8401499, -73.9445363 40.840812, -73.944405 40.8410165, -73.944164 40.8415177, -73.9444851 40.8416012, -73.9448767 40.841703, -73.9451957 40.841786, -73.9452626 40.8418034, -73.9444392 40.8434297, -73.9442404 40.8431923, -73.9436636 40.8430748, -73.9436005 40.8436543, -73.9435701 40.843878, -73.943112 40.8452588, -73.9427284 40.8451838, -73.9428771 40.8447703, -73.9425691 40.8446286, -73.942687 40.8442729, -73.9429935 40.8443982, -73.9432527 40.8436746, -73.942896 40.8435162, -73.943037 40.8431127, -73.9428851 40.8431058, -73.9423247 40.8429117, -73.9421751 40.8428014, -73.942431 40.842078, -73.9408883 40.8414248, -73.9404189 40.8420599, -73.9400673 40.8419073, -73.9405198 40.8412813, -73.9398299 40.840979, -73.9385647 40.8404505))",New York,630,10031,West 168th Street,hospital,,yes,,hospital,Columbia University Irving Medical Center,24/7,Columbia University,,,+1 212 305 2862,https://www.cuimc.columbia.edu/,,,,
way,146967028,"POLYGON ((-73.9774917 40.7380343, -73.9782975 40.7369451, -73.9770233 40.7364116, -73.9768846 40.7363535, -73.9768001 40.7363181, -73.9764021 40.7361514, -73.9763352 40.7361234, -73.9763034 40.7361098, -73.9762834 40.7361365, -73.9762231 40.7362186, -73.9761918 40.73626, -73.9760595 40.7364392, -73.9759406 40.7365998, -73.9754999 40.7371952, -73.9755424 40.737213, -73.9756092 40.737241, -73.9757306 40.7372919, -73.9757934 40.7373184, -73.9769541 40.7378077, -73.9770031 40.7378283, -73.9772871 40.7379481, -73.9774917 40.7380343))",New York,423,10010,East 23rd Street,hospital,,yes,,hospital,Veteran Affairs New York Harbor Healthcare System,24/7,Veterans Health Administration,Q6580225,en:Veterans Health Administration,+1 212 686 7500,https://www.nyharbor.va.gov/,4536.0,4536.0,3.16792450673,1431.8523027817216
way,150365209,"POLYGON ((-73.975941 40.7401168, -73.976942 40.7388017, -73.9765015 40.7386122, -73.9763147 40.7388534, -73.9750448 40.7382884, -73.9752286 40.7380437, -73.9748009 40.7378567, -73.9746817 40.7378284, -73.9745594 40.7378284, -73.9744251 40.7378652, -73.9743019 40.7379359, -73.9741978 40.738061, -73.9740441 40.7381862, -73.9737986 40.7385143, -73.9736579 40.7387863, -73.9735072 40.7390474, -73.975941 40.7401168))",New York,462,10010,1st Avenue,hospital,,yes,973369,hospital,NYC Health + Hospitals/Bellevue,24/7,NYC Health + Hospitals,,,+1-212-562-4141,https://www.nychealthandhospitals.org/bellevue/,4536.0,4536.0,3.16792450673,1431.8523027817216
way,150368085,"POLYGON ((-73.9734453 40.7436044, -73.9749544 40.7414842, -73.9743988 40.7412664, -73.9745757 40.7410168, -73.973267 40.7404642, -73.9730845 40.7408228, -73.9729534 40.7416767, -73.9728868 40.7419427, -73.9726311 40.7426626, -73.9724159 40.7430298, -73.9723978 40.7430799, -73.9724069 40.743129, -73.9724328 40.7431703, -73.9724665 40.7431948, -73.9734453 40.7436044))",New York,,,,hospital,,yes,2083131,hospital,NYU Langone Medical Center,24/7,,,,+1 646 929 7870,https://med.nyu.edu/,4536.0,4536.0,3.16792450673,1431.8523027817216
