element_type,osmid,geometry,addr:city,addr:housenumber,addr:postcode,addr:street,amenity,beds,emergency,gnis:feature_id,healthcare,healthcare:speciality,name,old_name,opening_hours,operator,website,addr:state,check_date,phone,nodes,building,height,nycdoitt:bin,wikidata,operator:wikidata,healthcare:for,operator:short,operator:wikipedia,short_name,wheelchair,alt_name,start_date,wikipedia,ways,type
node,357616936,POINT (-73.7083333 40.7538889),New Hyde Park,269-01,11040,76th Avenue,hospital,202,yes,2079409,hospital,paediatrics,Cohen’s Children’s Medical Center,Helen and Irving Schneider Children's Hospital,24/7,Northwell Health,https://childrenshospital.northwell.edu/,,,,,,,,,,,,,,,,,,,
node,357652216,POINT (-73.8605021 40.7536455),Flushing,3702,11368,108th Street,hospital,,,,hospital,paediatrics;clinic,Plaza del Sol Family Health Center,,,,,NY,2024-07-06,,,,,,,,,,,,,,,,,
node,2837699748,POINT (-73.7833843 40.7571143),,,,,hospital,,no,,hospital,,Quest Diagnostics,,,,,,,,,,,,,,,,,,,,,,,
node,5366311662,POINT (-73.7088257 40.7543321),New Hyde Park,270-05,11040,76th Avenue,hospital,,no,,hospital,,Katz Women's Hospital,,,Northwell Health,https://www.northwell.edu/find-care/locations/katz-womens-hospital-long-island-jewish-medical-center,,,+1 855 850 5494,,,,,,,,,,,,,,,,
way,280336215,"POLYGON ((-73.9027993 40.7417491, -73.9028167 40.7417512, -73.9028242 40.7417156, -73.9026423 40.7416935, -73.9026351 40.7417272, -73.9024833 40.7417086, -73.9025178 40.7415466, -73.9035228 40.7416694, -73.9034949 40.7418006, -73.9031302 40.741756, -73.9031089 40.741766, -73.9030944 40.7418345, -73.9027891 40.7417975, -73.9027993 40.7417491))",,61-11,11377,Queens Boulevard,hospital,,no,,hospital,,Queens Blvd Extended Care,,,,,,,,"[2844725377, 2844725378, 2844725372, 2844725368, 2844725374, 2844725369, 2844725349, 2844725363, 2844725389, 2844725380, 2844725383, 2844725398, 2844725390, 2844725377]",yes,23.7,4449695,,,,,,,,,,,,
way,280533350,"POLYGON ((-73.8892381 40.748266, -73.8892464 40.7483084, -73.8890609 40.7483295, -73.8890526 40.7482871, -73.8892381 40.748266))",,37-28,11372,77th Street,hospital,,,,clinic,,Rest Medical Care,,,,,,,,"[2846355395, 2846355434, 2846355450, 2846355417, 2846355395]",yes,8.8,4029871,,,,,,,,,,,,
way,282906069,"POLYGON ((-73.7812727 40.6938946, -73.7812621 40.6938991, -73.7812291 40.6938538, -73.7812857 40.6937842, -73.7812721 40.6937672, -73.7811694 40.6937672, -73.7810789 40.6936429, -73.7813026 40.6935485, -73.7813074 40.6935551, -73.7813241 40.6935481, -73.7814255 40.6936874, -73.7814088 40.6936944, -73.7814381 40.6937347, -73.781455 40.6937276, -73.7815614 40.6938738, -73.7813289 40.6939718, -73.7812727 40.6938946))",,111-20,11433,Merrick Boulevard,hospital,,,,hospital,,Jamaica Hospital Medical Center,,,,,,,,"[2868498187, 2868498190, 2868498157, 2868498105, 2868498089, 2868498088, 2868498010, 2868497751, 2868497761, 2868497750, 2868498037, 2868498045, 2868498069, 2868498062, 2868498173, 2868498341, 2868498187]",yes,7.6,4217364,,,,,,,,,,,,
way,361757084,"POLYGON ((-73.8881519 40.7454517, -73.8851447 40.7440978, -73.8851234 40.7440882, -73.8839644 40.7457789, -73.8842428 40.7458748, -73.8881519 40.7454517))",Elmhurst,79-01,11373,Broadway,hospital,,yes,949576,hospital,,Elmhurst Hospital,Elmhurst Hospital Center,24/7,NYC Health + Hospitals/,https://www.nychealthandhospitals.org/elmhurst/,,,+1 718 334 4000,"[357558203, 10739295120, 3661889611, 3661889612, 3661889613, 357558203]",,,,Q30280060,,,,,,,,,,,
way,475327562,"POLYGON ((-73.8173479 40.755537, -73.8176456 40.7553521, -73.8170415 40.7548001, -73.8157424 40.7556202, -73.8166264 40.7561892, -73.8167658 40.7560409, -73.8170877 40.7562014, -73.8175437 40.7559129, -73.8177931 40.7561282, -73.8179246 40.7560571, -73.8173479 40.755537))",Flushing,45-00,11354,Parsons Boulevard,hospital,,yes,,hospital,,Flushing Hospital Medical Center,,24/7,Flushing Hospital Medical Center,https://www.flushinghospital.org/,,,+1 718 670 5000,"[5418460026, 5418460027, 4690870075, 4690870076, 4690870077, 5418460021, 5418460022, 5418460023, 5418460024, 5418460025, 5418460026]",,,,Q30280272,,,,,,,,,,,
way,484551768,"POLYGON ((-73.8521418 40.7292817, -73.8516944 40.7285658, -73.8509949 40.7287868, -73.8513586 40.7295244, -73.8521418 40.7292817))",Forest Hills,102-01,11375,66th Avenue,hospital,312,yes,2420551,hospital,,Long Island Jewish Forest Hills,Forest Hills Hospital,24/7,Northwell Health,https://www.northwell.edu/find-care/locations/long-island-jewish-forest-hills,,,+1 718 830 4000,"[357642722, 4772994091, 4772994093, 4772994092, 357642722]",,,,Q54953965,Q7056650,,,,,,,,,,
